source_table,source_document_sha256,unit_source,prototype,metal_composition,lithium_sequence,unit,dft_stage_1,dft_stage_2,deepmd-se_atten_v2_stage_1,deepmd-se_atten_v2_stage_2,deepmd-se_e2_a_stage_1,deepmd-se_e2_a_stage_2,deepmd-se_e2_r_stage_1,deepmd-se_e2_r_stage_2,deepmd-dpa2_stage_1,deepmd-dpa2_stage_2,m3gnet_stage_1,m3gnet_stage_2,chgnet_stage_1,chgnet_stage_2
Table S11,0e421d4236d8c9389eddd4e61f9503ada6ff0fd07f70f5bd1c32eea35214e732,SI Figure S11 y-axis,I,MnFeNiCu3Zn2,Li8-Li4-Li0,V,2.83,2.66,1.96,2.17,5.27,5.44,1.43,1.49,2.16,2.22,2.14,2.31,2.91,2.75
Table S11,0e421d4236d8c9389eddd4e61f9503ada6ff0fd07f70f5bd1c32eea35214e732,SI Figure S11 y-axis,I,Mn,Li2-Li1-Li0,V,2.58,2.43,2.14,2.36,5.23,5.42,1.45,1.42,1.90,2.04,1.89,1.94,2.56,2.52
Table S11,0e421d4236d8c9389eddd4e61f9503ada6ff0fd07f70f5bd1c32eea35214e732,SI Figure S11 y-axis,I,Fe,Li2-Li1-Li0,V,2.60,2.41,2.21,2.35,5.26,5.28,1.61,1.60,1.93,2.02,1.85,2.13,2.70,2.63
Table S11,0e421d4236d8c9389eddd4e61f9503ada6ff0fd07f70f5bd1c32eea35214e732,SI Figure S11 y-axis,II,MnFeNiCu2Zn2,Li10-Li5-Li0,V,2.72,2.87,1.84,2.17,5.15,5.32,1.39,1.40,2.08,2.28,2.09,2.40,2.79,2.97
Table S11,0e421d4236d8c9389eddd4e61f9503ada6ff0fd07f70f5bd1c32eea35214e732,SI Figure S11 y-axis,II,Mn,Li10-Li5-Li0,V,2.44,2.69,1.75,1.82,4.93,5.19,1.18,1.31,1.80,2.12,1.66,1.93,2.60,2.56
Table S11,0e421d4236d8c9389eddd4e61f9503ada6ff0fd07f70f5bd1c32eea35214e732,SI Figure S11 y-axis,II,Fe,Li10-Li5-Li0,V,2.39,2.67,1.87,1.67,5.06,4.98,1.40,1.41,1.87,2.05,1.68,2.10,2.61,2.60
Table S11,0e421d4236d8c9389eddd4e61f9503ada6ff0fd07f70f5bd1c32eea35214e732,SI Figure S11 y-axis,III,MnFeNiCuZn4,Li16-Li8-Li0,V,2.81,3.13,1.44,2.41,4.94,5.83,1.45,1.18,1.79,2.64,2.16,2.65,2.67,3.45
Table S11,0e421d4236d8c9389eddd4e61f9503ada6ff0fd07f70f5bd1c32eea35214e732,SI Figure S11 y-axis,III,Mn,Li2-Li1-Li0,V,1.82,2.46,1.07,2.07,4.55,5.54,1.54,1.02,1.32,2.26,1.75,2.21,2.34,3.02
Table S11,0e421d4236d8c9389eddd4e61f9503ada6ff0fd07f70f5bd1c32eea35214e732,SI Figure S11 y-axis,III,Fe,Li2-Li1-Li0,V,2.31,2.89,1.25,2.16,4.79,5.68,1.66,1.18,1.38,2.23,1.83,2.34,2.52,3.08

