source_table,unit_source,prototype,metal_composition,lithium_sequence,stage,reference_dft_v,deepmd-se_atten_v2,deepmd-se_e2_a,deepmd-se_e2_r,deepmd-dpa2,m3gnet,chgnet,unit
Table S11,SI Figure S11 y-axis,I,MnFeNiCu3Zn2,Li8-Li4-Li0,1,2.83,1.96,5.27,1.43,2.16,2.14,2.91,V
Table S11,SI Figure S11 y-axis,I,MnFeNiCu3Zn2,Li8-Li4-Li0,2,2.66,2.17,5.44,1.49,2.22,2.31,2.75,V
Table S11,SI Figure S11 y-axis,I,Mn,Li2-Li1-Li0,1,2.58,2.14,5.23,1.45,1.90,1.89,2.56,V
Table S11,SI Figure S11 y-axis,I,Mn,Li2-Li1-Li0,2,2.43,2.36,5.42,1.42,2.04,1.94,2.52,V
Table S11,SI Figure S11 y-axis,I,Fe,Li2-Li1-Li0,1,2.60,2.21,5.26,1.61,1.93,1.85,2.70,V
Table S11,SI Figure S11 y-axis,I,Fe,Li2-Li1-Li0,2,2.41,2.35,5.28,1.60,2.02,2.13,2.63,V
Table S11,SI Figure S11 y-axis,II,MnFeNiCu2Zn2,Li10-Li5-Li0,1,2.72,1.84,5.15,1.39,2.08,2.09,2.79,V
Table S11,SI Figure S11 y-axis,II,MnFeNiCu2Zn2,Li10-Li5-Li0,2,2.87,2.17,5.32,1.40,2.28,2.40,2.97,V
Table S11,SI Figure S11 y-axis,II,Mn,Li10-Li5-Li0,1,2.44,1.75,4.93,1.18,1.80,1.66,2.60,V
Table S11,SI Figure S11 y-axis,II,Mn,Li10-Li5-Li0,2,2.69,1.82,5.19,1.31,2.12,1.93,2.56,V
Table S11,SI Figure S11 y-axis,II,Fe,Li10-Li5-Li0,1,2.39,1.87,5.06,1.40,1.87,1.68,2.61,V
Table S11,SI Figure S11 y-axis,II,Fe,Li10-Li5-Li0,2,2.67,1.67,4.98,1.41,2.05,2.10,2.60,V
Table S11,SI Figure S11 y-axis,III,MnFeNiCuZn4,Li16-Li8-Li0,1,2.81,1.44,4.94,1.45,1.79,2.16,2.67,V
Table S11,SI Figure S11 y-axis,III,MnFeNiCuZn4,Li16-Li8-Li0,2,3.13,2.41,5.83,1.18,2.64,2.65,3.45,V
Table S11,SI Figure S11 y-axis,III,Mn,Li2-Li1-Li0,1,1.82,1.07,4.55,1.54,1.32,1.75,2.34,V
Table S11,SI Figure S11 y-axis,III,Mn,Li2-Li1-Li0,2,2.46,2.07,5.54,1.02,2.26,2.21,3.02,V
Table S11,SI Figure S11 y-axis,III,Fe,Li2-Li1-Li0,1,2.31,1.25,4.79,1.66,1.38,1.83,2.52,V
Table S11,SI Figure S11 y-axis,III,Fe,Li2-Li1-Li0,2,2.89,2.16,5.68,1.18,2.23,2.34,3.08,V
